date,ADI,AMAT,AMD,ASML,AVGO,INTC,KLAC,LRCX,MRVL,MU,NVDA,NXPI,QCOM,TSM,TXN
2007-01-03,20.649578094482422,13.504955291748047,19.520000457763672,22.87215232849121,,12.1651611328125,2.6144332885742188,4.196159839630127,16.63204002380371,13.681173324584961,0.5500357151031494,,23.592876434326172,5.9019670486450195,17.62653923034668
2007-01-04,21.00798797607422,13.783560752868652,19.790000915527344,23.125564575195312,,12.655357360839844,2.6710028648376465,4.404865264892578,16.98102569580078,13.447141647338867,0.5474445819854736,,24.65726089477539,5.9019670486450195,17.959808349609375
2007-01-05,20.769046783447266,13.68823528289795,19.709999084472656,23.22879409790039,,12.613510131835938,2.6763386726379395,4.398923397064209,16.521394729614258,13.242362976074219,0.5131432414054871,,24.367549896240234,5.751322269439697,17.749967575073242
2007-01-08,20.93253517150879,13.849542617797852,19.469999313354492,23.491600036621094,,12.559707641601562,2.6987526416778564,4.350566864013672,16.495849609375,13.398383140563965,0.516954779624939,,24.096738815307617,5.783604145050049,17.836374282836914
2007-01-09,20.901092529296875,14.113475799560547,19.649999618530273,23.238187789916992,,12.571662902832031,2.7270379066467285,4.342082500457764,16.793766021728516,13.330126762390137,0.5068933367729187,,23.83220863342285,5.7136640548706055,17.79934310913086
2007-01-10,21.265798568725586,14.326101303100586,20.010000228881836,23.163103103637695,,12.864591598510742,2.7707972526550293,4.471037864685059,17.77261734008789,13.720179557800293,0.5318945050239563,,24.27937126159668,5.745943546295166,18.101747512817383
2007-01-11,21.3098087310791,14.318765640258789,20.18000030517578,22.94723892211914,,13.103697776794434,2.7788021564483643,4.538910388946533,17.61940574645996,13.534905433654785,0.5299124717712402,,24.865097045898438,5.869685173034668,17.91659927368164
2007-01-12,21.341245651245117,14.296768188476562,18.260000228881836,23.19125747680664,,13.229239463806152,2.784139394760132,4.627142906188965,17.355541229248047,13.876201629638672,0.5370782017707825,,24.953277587890625,6.052608966827393,17.935121536254883
2007-01-16,21.23436164855957,14.282112121582031,18.1299991607666,22.656301498413086,,13.330867767333984,2.706224203109741,4.517701148986816,16.938465118408203,13.573909759521484,0.5379927754402161,,24.858800888061523,6.084888935089111,17.82402801513672
2007-01-17,20.894805908203125,14.22344970703125,18.200000762939453,24.67414665222168,,12.57763957977295,2.7350425720214844,4.592358589172363,16.68311882019043,13.339875221252441,0.526711106300354,,24.682458877563477,6.1817307472229,17.978322982788086
